date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,differ
11,44,36,52,52,72,31,85,1997,2013,0,0.14,5.19,z
11,44,32,55,51,72,28,84,1959,1973,0,0.14,3.36,z
11,50,30,69,51,71,30,85,2014,1985,0,0.14,2.1,z
11,61,46,76,51,71,27,84,1969,1977,0.04,0.13,1.85,z
11,64,61,66,50,71,29,84,1937,1999,0.57,0.14,1.54,z
11,63,58,68,50,70,30,87,1975,1973,0.11,0.13,3.09,z
11,71,61,80,50,70,24,85,1975,1973,0.23,0.14,3.81,z
11,56,45,66,49,70,26,84,1970,1910,0,0.13,3.35,z
11,54,41,66,49,69,29,86,1950,1967,0,0.14,1.7,z
11,58,43,73,49,69,27,86,1975,1967,0,0.14,3.17,z
11,55,43,67,49,69,26,84,1975,1989,0,0.14,3.12,z
11,55,39,71,48,68,26,83,1976,1977,0,0.14,1.82,z
11,69,60,78,48,68,22,83,1976,2006,0,0.15,3.47,z
11,71,61,80,48,68,19,82,1976,1950,0,0.15,1.41,z
12,57,45,69,47,67,26,83,1979,2012,0.03,0.15,5.8,z
12,50,44,56,47,67,28,84,1979,2012,0,0.13,3.28,z
12,59,52,66,47,67,25,85,1929,1995,0,0.14,2.5,z
12,63,53,72,47,67,27,83,1897,2012,0,0.13,1.96,z
12,72,65,79,46,66,26,83,2009,1998,0.07,0.13,2.02,z
12,65,58,71,46,66,20,82,1950,1951,0,0.13,3.08,z
12,57,54,59,46,66,24,84,1950,1998,0,0.13,4.95,z
12,57,46,67,46,66,25,83,1927,2007,0,0.13,1.95,z
12,57,43,70,45,65,25,82,1917,2007,0,0.13,1.69,z
12,56,42,69,45,65,20,83,1978,1939,0,0.12,4.41,z
12,64,56,72,45,65,26,83,1957,2007,0.02,0.12,2.85,z
12,66,57,75,45,65,25,82,1989,1948,0,0.13,2.57,z
12,64,54,74,45,65,19,82,1989,1921,0,0.12,2.85,z
12,67,58,76,45,64,25,83,1985,1995,0,0.12,5.64,z
12,70,59,80,44,64,21,82,1901,1995,0,0.12,2.19,z
12,57,48,66,44,64,19,82,1989,1971,0,0.12,3.05,z
12,54,44,64,44,64,20,80,1932,1984,0,0.12,2.28,z
12,64,57,70,44,64,24,82,1996,1980,0.8,0.11,2.14,z
12,56,52,59,44,64,20,81,1929,1978,3.06,0.12,3.06,z
12,52,50,54,44,63,21,81,1996,1951,0,0.12,2.02,z
12,55,48,61,44,63,21,82,1973,2010,0,0.12,3.41,z
12,64,55,72,44,63,13,81,1989,1981,0,0.11,2.21,z
12,54,48,60,44,63,7,80,1989,1996,0.69,0.13,1.01,z
12,46,37,55,43,63,11,82,1989,1948,0,0.11,2.04,z
12,50,34,66,43,63,11,82,1983,1964,0,0.12,2.09,z
12,61,51,71,43,63,18,78,1983,2005,0.04,0.11,2.06,z
12,60,46,74,43,63,19,81,1892,1971,0.22,0.11,1.38,z
12,44,41,46,43,63,15,80,1894,1996,0.67,0.11,2.7,z
12,44,39,48,43,63,15,81,1894,1984,0,0.1,2.15,z
12,46,38,53,43,63,19,83,1983,1974,0,0.1,1.36,z
12,42,37,46,43,63,18,82,1983,1974,0,0.1,3.35,z
1,44,41,47,43,63,18,81,1928,2006,0.15,0.1,3.12,z
1,51,47,54,43,63,16,81,1928,2000,0.63,0.1,2.26,z
1,47,41,53,43,62,16,83,1911,1989,0.63,0.1,3.44,z
1,46,36,56,43,62,18,79,1911,1997,0,0.11,2.23,z
1,43,31,54,43,62,22,80,1972,1998,0,0.11,1.39,z
1,50,34,65,43,62,22,80,1972,1989,0,0.11,3.7,z
1,51,39,62,43,62,19,79,1970,1989,0,0.1,2.01,z
1,35,28,42,43,62,19,79,1996,1957,0.01,0.11,5.89,z
1,39,37,40,43,63,19,80,1976,1974,0.06,0.1,2.49,z
1,39,37,41,43,63,18,82,1977,1963,0.08,0.11,1.43,z
1,44,39,49,43,63,12,81,1982,1995,0.66,0.1,2.78,z
1,46,43,49,43,63,11,81,1918,2000,0,0.11,2.27,z
1,45,43,46,43,63,17,81,1912,2000,0.05,0.1,1.51,z
1,42,39,45,43,63,19,82,1982,1971,0,0.11,1.45,z
1,47,39,54,43,63,21,79,1892,1996,0,0.11,2.82,z
1,47,33,61,43,63,22,81,1972,1936,0,0.11,2.6,z
1,53,37,69,43,63,15,80,1930,1974,0,0.11,2.39,z
1,57,43,71,43,63,5,81,1930,2000,0,0.12,2.83,z
1,53,34,72,43,63,10,81,1940,2000,0,0.11,2,z
1,61,45,76,43,63,20,81,1985,2012,0,0.11,1.83,z
1,62,57,67,43,63,16,81,1985,1911,0,0.11,2.05,z
1,52,44,60,43,63,15,80,1930,1972,0.87,0.12,2.52,z
1,42,39,44,43,63,14,83,1940,1972,0.03,0.11,2.62,z
1,49,35,62,43,63,18,82,1963,1971,0,0.11,1.94,z
1,55,40,70,44,63,19,81,1894,1971,0,0.11,2.83,z
1,56,44,67,44,64,23,84,1943,1975,0,0.11,2.58,z
1,64,47,81,44,64,19,83,1897,1975,0,0.11,2.86,z
1,61,43,79,44,64,19,82,1897,1975,0,0.12,0.75,z
1,62,49,75,44,64,22,82,1897,1975,0,0.11,1.93,z
1,55,45,65,44,64,18,84,1949,1911,0,0.12,1.64,z
1,53,42,63,44,64,14,82,1949,1911,0,0.11,2.12,z
2,63,48,77,44,64,15,82,1951,1989,0.01,0.12,3.69,z
2,43,36,50,44,64,14,83,1951,1911,0,0.11,1.7,z
2,44,41,46,44,64,23,80,1951,2008,0.17,0.1,1.82,z
2,52,42,61,45,65,22,81,1996,1957,0.16,0.1,2.19,z
2,48,41,55,45,65,23,83,1996,1957,0,0.1,1.8,z
2,49,41,56,45,65,24,81,1989,1969,0,0.11,1.09,z
2,53,37,69,45,65,11,80,1895,1957,0,0.11,1.46,z
2,66,54,77,45,65,10,82,1895,1932,0,0.11,1.84,z
2,69,54,83,45,65,15,86,1933,1962,0,0.11,2,z
2,59,43,74,46,65,22,85,1973,1957,0,0.12,2.22,z
2,60,44,75,46,66,20,82,1981,1999,0,0.11,1.88,z
2,56,46,66,46,66,6,84,1899,1922,0,0.12,2.7,z
2,53,39,66,46,66,6,83,1899,1962,0,0.11,2.99,z
2,61,43,78,46,66,10,83,1899,1911,0,0.11,1.9,z
2,61,51,71,47,66,18,83,1905,2000,0.02,0.13,2,z
2,53,37,68,47,66,13,82,1895,1927,0.15,0.12,2.05,z
2,44,34,54,47,67,16,86,1895,1907,0,0.12,0.87,z
2,49,33,64,47,67,19,87,1936,1986,0,0.13,2.09,z
2,51,37,64,47,67,20,88,1900,1986,0,0.12,1.3,z
2,61,52,69,48,67,25,91,1908,1986,0.01,0.12,2.6,z
2,70,65,75,48,67,24,89,1978,1996,0,0.12,1.98,z
2,63,45,80,48,68,21,90,1978,1996,0,0.12,1.96,z
2,40,34,46,48,68,27,88,1976,1996,0.02,0.11,1.6,z
2,38,33,43,48,68,26,87,1914,1927,0,0.12,1.38,z
2,42,33,50,49,68,26,85,1974,1918,0.1,0.1,2.1,z
2,43,31,55,49,69,26,86,1974,1986,0,0.12,1.51,z
2,42,37,46,49,69,22,86,2002,1954,0,0.11,1.85,z
2,47,37,57,49,69,28,90,2002,1940,0.02,0.12,1.44,z
3,54,49,59,50,69,28,84,1980,1975,0.22,0.11,3.32,z
3,54,48,60,50,70,22,91,1980,1909,0.01,0.12,1.55,z
3,68,56,80,50,70,21,86,1943,1893,0,0.11,1.03,z
3,63,43,83,50,70,22,86,2002,1893,0,0.12,4.56,z
3,44,36,51,50,70,25,84,1989,1998,0.15,0.12,2.2,z
3,44,30,57,51,71,25,86,1989,1991,0,0.12,1.44,z
3,48,35,60,51,71,28,90,1989,1911,0,0.12,1.58,z
3,49,45,53,51,71,27,88,1971,1911,1.49,0.11,2.05,z
3,58,50,66,51,71,27,88,1932,2000,1.96,0.11,1.96,z
3,57,53,60,51,72,27,89,1932,1980,0,0.11,3.23,z
3,58,53,62,52,72,27,87,1948,1911,0.12,0.11,2.81,z
3,59,55,62,52,72,24,89,1948,1904,0.33,0.11,4.28,z
3,61,55,66,52,72,27,88,1932,1942,0.34,0.1,1.96,z
3,64,51,77,52,73,29,88,1993,2008,0,0.11,1.82,z
3,64,55,73,52,73,32,89,1999,2008,0,0.11,2.06,z
3,67,57,77,53,73,34,87,1913,1908,0,0.11,2.83,z
3,70,58,82,53,73,30,88,1900,1908,0,0.1,2.57,z
3,74,65,82,53,74,27,90,1892,2013,0.11,0.1,1.6,z
3,73,66,79,53,74,27,89,1923,1908,0.49,0.09,4.2,z
3,74,66,82,53,74,24,90,1923,1907,0.02,0.11,7.47,z
3,65,64,66,54,74,30,87,1996,1907,1.01,0.1,1.38,z
3,68,60,76,54,75,32,89,1970,1916,0,0.12,2.01,z
3,68,55,80,54,75,35,89,1989,1929,0,0.11,2.27,z
3,67,53,80,54,75,32,87,1897,1907,0,0.11,1.46,z
3,68,56,80,54,75,36,93,2006,1928,0,0.12,7.36,z
3,62,54,69,55,75,30,94,1955,1928,0.09,0.12,2.23,z
3,62,44,80,55,76,31,89,1955,1935,0,0.11,3,z
3,65,47,82,55,76,33,89,1931,1972,0,0.11,1.99,z
3,70,57,82,55,76,35,90,1894,1974,0,0.1,1.75,z
3,72,61,83,55,76,33,96,1987,1946,0,0.11,2.9,z
3,74,64,83,56,77,30,88,1987,1946,0,0.1,1.44,z
4,74,69,79,56,77,39,89,1987,1936,0.01,0.1,2.26,z
4,77,69,84,56,77,38,89,1996,1939,0,0.1,4.75,z
4,77,71,82,56,77,31,87,1987,2006,0,0.1,3.09,z
4,67,61,73,56,77,34,88,1987,1897,0,0.1,3.35,z
4,62,57,67,57,78,38,91,1973,1982,0.02,0.1,2.61,z
4,75,67,82,57,78,37,88,1970,1909,0,0.1,1.9,z
4,79,70,87,57,78,32,91,1971,1907,0,0.1,2.28,z
4,78,71,84,57,78,35,92,1971,1986,0,0.1,3.26,z
4,78,70,86,58,78,36,92,1973,1963,0,0.1,2.68,z
4,68,61,74,58,79,31,92,1973,1963,1.74,0.11,2.57,z
4,70,63,77,58,79,38,89,1989,1934,0.13,0.1,1.67,z
4,74,68,80,58,79,41,89,1900,1981,0.14,0.1,4.04,z
4,79,71,86,59,79,39,92,1940,1996,0.32,0.1,6.43,z
4,70,64,76,59,79,39,89,1980,1996,0.12,0.11,3.52,z
4,71,60,81,59,80,38,90,1928,1944,0,0.1,3.05,z
4,74,65,82,59,80,38,92,1983,1987,1.66,0.11,4.7,z
4,74,64,83,60,80,38,92,1999,2006,1.1,0.11,1.9,z
4,72,66,78,60,80,42,94,1999,1987,0.09,0.11,8.16,z
4,72,58,86,60,80,40,92,1901,1987,0.54,0.11,2.77,z
4,67,59,74,61,81,39,93,2013,1987,0,0.11,2.7,z
4,68,56,79,61,81,42,90,1978,1987,0,0.12,3.76,z
4,76,67,84,61,81,43,90,1993,2009,0,0.12,1.5,z
4,79,69,88,61,81,44,91,1998,1999,0,0.11,2.4,z
4,78,71,85,62,81,46,92,1995,1894,0,0.12,2.24,z
4,78,67,88,62,82,41,90,1910,1987,0.21,0.13,2.5,z
4,76,67,85,62,82,46,91,1978,1988,0,0.12,3.52,z
4,72,66,78,63,82,47,93,1978,1933,0.02,0.13,2.72,z
4,64,56,71,63,82,47,95,1978,1987,0,0.12,3.76,z
4,65,52,78,63,82,46,92,2008,1987,0,0.13,2.86,z
4,68,53,82,64,83,42,92,1908,1981,0,0.14,3.2,z
5,71,57,84,64,83,45,94,1908,1947,0,0.15,4.11,z
5,70,57,83,64,83,45,96,1976,1964,0,0.15,3.48,z
5,70,57,83,64,83,47,93,1978,1890,0,0.16,5.1,z
5,73,61,84,65,84,42,94,2013,1890,0,0.16,1.72,z
5,73,63,82,65,84,49,94,1970,1906,0.13,0.17,3.6,z
5,78,73,83,65,84,49,94,2013,1906,0.41,0.17,5,z
5,80,74,85,65,84,47,94,1891,1998,0,0.17,2.61,z
5,81,77,85,66,85,45,96,1892,1967,0,0.17,2.34,z
5,82,76,87,66,85,46,94,1984,1998,0,0.17,2.42,z
5,82,77,87,66,85,51,94,1984,1927,0.03,0.17,5.89,z
5,75,69,80,67,85,47,94,1981,1890,0.28,0.17,2.16,z
5,74,69,79,67,85,50,92,1895,1967,0.56,0.16,5.27,z
5,75,68,81,67,86,50,94,1895,1907,1.55,0.16,3.44,z
5,80,72,87,67,86,47,93,1971,1995,0.05,0.16,2.44,z
5,79,73,84,68,86,49,92,1890,2003,0.15,0.18,4.64,z
5,81,73,89,68,86,47,93,1973,2003,0,0.17,2.8,z
5,78,71,85,68,87,52,95,1970,1894,0.98,0.17,4.2,z
5,80,73,86,68,87,50,95,1976,1890,0.24,0.15,6.16,z
5,80,73,86,68,87,50,95,1976,2003,0.02,0.16,6.87,z
5,81,73,89,69,87,48,95,1894,2008,0.31,0.16,4.17,z
5,77,71,82,69,88,53,96,1892,2005,1.08,0.15,5.45,z
5,72,65,79,69,88,48,96,1892,2005,0,0.16,3.1,z
5,79,73,85,69,88,45,95,1892,1996,0.72,0.16,3.99,z
5,75,69,81,70,88,54,95,1892,1955,0.56,0.16,3.96,z
5,77,66,88,70,88,56,95,1979,1927,4.34,0.16,4.34,z
5,76,66,85,70,89,57,98,1979,2011,0.77,0.17,2.91,z
5,76,65,86,70,89,50,98,1901,1928,1.41,0.17,3.99,z
5,80,70,90,70,89,54,98,1901,1906,0,0.17,2.83,z
5,80,70,89,71,89,58,99,1984,1996,0.01,0.17,4.33,z
5,80,69,91,71,89,53,97,1984,1998,0.57,0.17,5.01,z
5,78,69,87,71,90,50,98,1889,1998,0,0.17,3.45,z
6,78,66,89,71,90,53,98,1984,1998,0,0.18,1.32,z
6,79,68,90,71,90,55,100,1892,2011,0,0.17,4.03,z
6,80,69,91,72,90,52,98,1970,1960,0,0.18,3.27,z
6,80,69,90,72,90,59,98,1970,2011,0,0.17,3.72,z
6,82,72,92,72,90,56,105,1970,2011,0,0.18,5.33,z
6,83,72,93,72,91,57,105,1970,2011,0,0.18,2.66,z
6,83,72,93,72,91,58,99,1970,1903,0,0.18,2.29,z
6,83,72,93,72,91,60,99,1977,1980,0,0.19,8.13,z
6,84,74,93,73,91,56,97,1996,1956,0,0.19,2.92,z
6,84,74,94,73,91,57,100,1955,1902,0,0.19,2.92,z
6,84,73,94,73,91,61,101,1976,1902,0.01,0.21,5.63,z
6,83,74,92,73,91,55,101,1979,1978,0,0.22,3.05,z
6,80,74,86,73,91,57,101,1979,1911,0.35,0.21,3.58,z
6,81,74,88,73,91,55,102,1903,1998,0.52,0.21,3.81,z
6,83,75,90,73,92,55,100,1903,2011,0.14,0.21,5.68,z
6,78,75,80,74,92,57,100,1989,1963,2.26,0.21,2.71,z
6,80,76,84,74,92,62,100,1989,1902,0.7,0.21,1.51,z
6,81,76,86,74,92,64,103,1969,1918,0,0.22,3.29,z
6,83,76,90,74,92,64,101,1912,1934,0,0.22,4.43,z
6,84,77,90,74,92,62,101,1976,1902,0.2,0.21,1.99,z
6,86,78,93,74,92,59,100,1976,1998,0,0.21,2.04,z
6,84,76,92,74,92,66,101,1912,1933,0,0.22,3.13,z
6,84,76,92,74,92,60,101,1904,2009,0,0.2,2.22,z
6,84,74,93,74,92,61,104,1904,2009,0,0.21,4.47,z
6,85,75,94,75,92,60,102,1974,2009,0,0.2,2.82,z
6,86,77,94,75,92,59,105,1974,2012,0.13,0.19,10.34,z
6,83,73,93,75,92,57,102,1974,1980,2.38,0.19,2.5,z
6,82,73,90,75,93,59,102,1974,2009,2.24,0.19,2.98,z
6,84,76,92,75,93,59,107,1974,2013,0,0.19,2.5,z
6,82,72,92,75,93,61,103,1985,1980,2.26,0.19,2.26,z
,,,,,,,,,,,,,z
